Text Command,Topic,Identifier,Action,One Hot Encoded Topic,One Hot Encoded Action,Verb/Noun
x project at risk,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",at risk
at risk project x,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",at risk
at risk x project,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",at risk
project x is at risk,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",at risk
x project is at risk,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",at risk
x was at risk,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",at risk
project x was at risk,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",at risk
x project was at risk,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",at risk
project x behind schedule,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",behind schedule
x project behind schedule,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",behind schedule
project x is behind schedule,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",behind schedule
x project is behind schedule,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",behind schedule
x was behind schedule,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",behind schedule
project x was behind schedule,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",behind schedule
x project was behind schedule,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",behind schedule
project x delayed,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",delay
x project delayed,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",delay
project x is delayed,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",delay
x project is delayed,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",delay
x was delayed,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",delay
project x was delayed,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",delay
x project was delayed,Project,x,At Risk,"[0,1]","[0,0,1,0,0]",delay
x danger,Project,x,Danger,"[0,1]","[0,0,0,1,0]",danger
danger x,Project,x,Danger,"[0,1]","[0,0,0,1,0]",danger
x is in danger,Project,x,Danger,"[0,1]","[0,0,0,1,0]",danger
problem with x,Project,x,Danger,"[0,1]","[0,0,0,1,0]",problem with
