Text Command,Topic,Identifier,Action,One Hot Encoded Topic,One Hot Encoded Action,Verb/Noun
x is done,Task,x,Completed,"[1,0]","[0,0,0,0,1]",done
task x is done,Task,x,Completed,"[1,0]","[0,0,0,0,1]",done
x task is done,Task,x,Completed,"[1,0]","[0,0,0,0,1]",done
x was done,Task,x,Completed,"[1,0]","[0,0,0,0,1]",done
task x was done,Task,x,Completed,"[1,0]","[0,0,0,0,1]",done
x task was done,Task,x,Completed,"[1,0]","[0,0,0,0,1]",done
x finished,Task,x,Completed,"[1,0]","[0,0,0,0,1]",finish
task x finished,Task,x,Completed,"[1,0]","[0,0,0,0,1]",finish
x task finished,Task,x,Completed,"[1,0]","[0,0,0,0,1]",finish
x is finished,Task,x,Completed,"[1,0]","[0,0,0,0,1]",finish
task x is finished,Task,x,Completed,"[1,0]","[0,0,0,0,1]",finish
x task is finished,Task,x,Completed,"[1,0]","[0,0,0,0,1]",finish
task x was finished,Task,x,Completed,"[1,0]","[0,0,0,0,1]",finish
x task was finished,Task,x,Completed,"[1,0]","[0,0,0,0,1]",finish
end task x,Task,x,Completed,"[1,0]","[0,0,0,0,1]",end
end x task,Task,x,Completed,"[1,0]","[0,0,0,0,1]",end
ending task x,Task,x,Completed,"[1,0]","[0,0,0,0,1]",end
ending x task,Task,x,Completed,"[1,0]","[0,0,0,0,1]",end
ended task x,Task,x,Completed,"[1,0]","[0,0,0,0,1]",end
ended x task,Task,x,Completed,"[1,0]","[0,0,0,0,1]",end
conclude task x,Task,x,Completed,"[1,0]","[0,0,0,0,1]",conclude
conclude x task,Task,x,Completed,"[1,0]","[0,0,0,0,1]",conclude
concluding task x,Task,x,Completed,"[1,0]","[0,0,0,0,1]",conclude
concluding x task,Task,x,Completed,"[1,0]","[0,0,0,0,1]",conclude
concluded task x,Task,x,Completed,"[1,0]","[0,0,0,0,1]",conclude
concluded x task,Task,x,Completed,"[1,0]","[0,0,0,0,1]",conclude
x to do,Project,x,Create,"[0,1]","[1,0,0,0,0]",to do
to do x,Project,x,Create,"[0,1]","[1,0,0,0,0]",to do
new x,Project,x,Create,"[0,1]","[1,0,0,0,0]",new
make x,Project,x,Create,"[0,1]","[1,0,0,0,0]",make
create x,Project,x,Create,"[0,1]","[1,0,0,0,0]",create
add x,Project,x,Create,"[0,1]","[1,0,0,0,0]",add
generate x,Project,x,Create,"[0,1]","[1,0,0,0,0]",generate
design x,Project,x,Create,"[0,1]","[1,0,0,0,0]",design
plan x,Project,x,Create,"[0,1]","[1,0,0,0,0]",plan
project x to do,Project,x,Create,"[0,1]","[1,0,0,0,0]",to do
x project to do,Project,x,Create,"[0,1]","[1,0,0,0,0]",to do
to do project x,Project,x,Create,"[0,1]","[1,0,0,0,0]",to do
to do x project,Project,x,Create,"[0,1]","[1,0,0,0,0]",to do
new project x,Project,x,Create,"[0,1]","[1,0,0,0,0]",new
new x project,Project,x,Create,"[0,1]","[1,0,0,0,0]",new
make project x,Project,x,Create,"[0,1]","[1,0,0,0,0]",make
make x project,Project,x,Create,"[0,1]","[1,0,0,0,0]",make
create project x,Project,x,Create,"[0,1]","[1,0,0,0,0]",create
create x project,Project,x,Create,"[0,1]","[1,0,0,0,0]",create
add project x,Project,x,Create,"[0,1]","[1,0,0,0,0]",add
add x project,Project,x,Create,"[0,1]","[1,0,0,0,0]",add
generate project x,Project,x,Create,"[0,1]","[1,0,0,0,0]",generate
generate x project,Project,x,Create,"[0,1]","[1,0,0,0,0]",generate
design project x,Project,x,Create,"[0,1]","[1,0,0,0,0]",design
design x project,Project,x,Create,"[0,1]","[1,0,0,0,0]",design
plan project x,Project,x,Create,"[0,1]","[1,0,0,0,0]",plan
plan x project,Project,x,Create,"[0,1]","[1,0,0,0,0]",plan
making x,Project,x,Create,"[0,1]","[1,0,0,0,0]",make
making project x,Project,x,Create,"[0,1]","[1,0,0,0,0]",make
making x project,Project,x,Create,"[0,1]","[1,0,0,0,0]",make
made x ,Project,x,Create,"[0,1]","[1,0,0,0,0]",make
made project x,Project,x,Create,"[0,1]","[1,0,0,0,0]",make
made x project,Project,x,Create,"[0,1]","[1,0,0,0,0]",make
creating x,Project,x,Create,"[0,1]","[1,0,0,0,0]",create
creating project x,Project,x,Create,"[0,1]","[1,0,0,0,0]",create
creating x project,Project,x,Create,"[0,1]","[1,0,0,0,0]",create
created x,Project,x,Create,"[0,1]","[1,0,0,0,0]",create
created project x,Project,x,Create,"[0,1]","[1,0,0,0,0]",create
created x project,Project,x,Create,"[0,1]","[1,0,0,0,0]",create
adding x,Project,x,Create,"[0,1]","[1,0,0,0,0]",add
adding project x,Project,x,Create,"[0,1]","[1,0,0,0,0]",add
adding x project,Project,x,Create,"[0,1]","[1,0,0,0,0]",add
added x,Project,x,Create,"[0,1]","[1,0,0,0,0]",add
added project x,Project,x,Create,"[0,1]","[1,0,0,0,0]",add
added x project,Project,x,Create,"[0,1]","[1,0,0,0,0]",add
generating x,Project,x,Create,"[0,1]","[1,0,0,0,0]",generate
generating project x,Project,x,Create,"[0,1]","[1,0,0,0,0]",generate
generating x project,Project,x,Create,"[0,1]","[1,0,0,0,0]",generate
generated x,Project,x,Create,"[0,1]","[1,0,0,0,0]",generate
generated project x,Project,x,Create,"[0,1]","[1,0,0,0,0]",generate
